d z_d D(z)
1 1 4.83579e-05
2 2430 0.000114523
3 3270 0.000231881
4 2052 0.000426757
5 2854 0.000709562
6 2198 0.00109566
7 1548 0.00156501
8 3715 0.00215678
9 3198 0.00280114
10 1129 0.00350012
11 3660 0.0042479
12 1961 0.00504521
13 1875 0.00586412
14 365 0.00668255
15 1315 0.00749257
16 2508 0.00831103
17 301 0.00910436
18 3775 0.00988721
19 3862 0.0106271
20 2081 0.0113459
21 3970 0.012038
22 3464 0.0126943
23 3172 0.0133056
24 1454 0.0138829
25 3820 0.0144171
26 3475 0.0149119
27 3214 0.0153706
28 352 0.0157959
29 1572 0.0161868
30 2870 0.0165458
31 1262 0.0168754
32 2462 0.0171778
33 1895 0.0174531
34 2719 0.0177033
35 1245 0.0179333
36 1777 0.0181437
37 2740 0.0183345
38 2472 0.0185088
39 846 0.0186668
40 2815 0.0188104
41 1982 0.0189406
42 3355 0.0190584
43 2697 0.0191653
44 3939 0.0192619
45 3851 0.0193494
46 2319 0.0194288
47 2948 0.0195004
48 2264 0.0195651
49 3896 0.0196236
50 1644 0.0196764
51 1827 0.0197243
52 1369 0.0197675
53 3572 0.0198064
54 1007 0.0198416
55 1756 0.0198733
56 525 0.0199019
57 3780 0.0199277
58 3951 0.019951
59 3801 0.0199721
60 197 0.0199912
61 435 0.0200083
62 2179 0.0200238
63 454 0.0200377
64 3484 0.0200503
65 911 0.0200616
66 1240 0.0200718
67 1281 0.020081
68 607 0.0200893
69 2652 0.0200967
70 1673 0.0201035
71 2966 0.0201096
72 2945 0.020115
73 3006 0.02012
74 1905 0.0201244
75 3642 0.0201284
76 2836 0.020132
77 2636 0.0201353
78 3379 0.0201382
79 2220 0.0201409
80 1591 0.0201432
81 3393 0.0201454
82 1908 0.0201473
83 408 0.020149
84 1160 0.0201506
85 2486 0.020152
86 1690 0.0201533
87 3517 0.0201544
88 3040 0.0201555
89 1861 0.0201564
90 813 0.0201572
91 272 0.020158
92 265 0.0201586
93 3895 0.0201593
94 1330 0.0201598
95 1403 0.0201603
96 3390 0.0201607
97 2378 0.0201611
98 2449 0.0201615
99 204 0.0201618
100 1444 0.0201621
